listing_id,listing_date,district,rooms,listing_price_usd,source_url,size_m2,level,max_levels,is_new_building,collected_at_utc
89849,2026-08-04,Olmazor,5,190000,https://hata.uz/en/listings/object/prodaetsya-svoya-kvartira-5-i-komnatnaya-89849,128.0,4,7,1,2026-08-21T23:55:40+00:00
90959,2026-08-05,Yunusobod,7,1100,https://hata.uz/en/listings/object/prodam-7-kom-zhk-abudabi-minor-maszhid-malika-bazar-shayhontohur-rayon-90959,185.0,1,7,1,2026-08-21T23:55:40+00:00
90973,2026-08-05,Yunusobod,5,1100,https://hata.uz/en/listings/object/kvartira-novostroyka-90973,208.0,9,9,1,2026-08-21T23:55:40+00:00
90998,2026-08-05,Yunusobod,4,950,https://hata.uz/en/listings/object/srochna-prodaetsya-110-kvm-yunusabadr-9-kv-novostroyka-4-6-10-90998,110.0,6,10,1,2026-08-21T23:55:40+00:00
91087,2026-08-05,Yunusobod,3,1450,https://hata.uz/en/listings/object/prodaetsya-kvartira-na-ts4-zhk-kiparis-91087,106.0,2,9,1,2026-08-21T23:55:40+00:00
91089,2026-08-05,Yunusobod,170,1250,https://hata.uz/en/listings/object/kamron-saroy-majmuasidan-tan-narxda-170m2-ega-kadastrlik-xonadon-91089,170.0,5,11,1,2026-08-21T23:55:40+00:00
91137,2026-08-05,Yunusobod,3,1350,https://hata.uz/en/listings/object/yunusabad-3h-komnatnaya-kvartira-korobka-110m2-zhk-kamron-palace-91137,110.0,7,11,1,2026-08-21T23:55:40+00:00
91145,2026-08-05,Yunusobod,3,1500,https://hata.uz/en/listings/object/high-town-city-17-qavat-91145,80.0,17,20,1,2026-08-21T23:55:40+00:00
91151,2026-08-05,Yunusobod,3,1200,https://hata.uz/en/listings/object/prodaetsya-3-komnatnaya-kvartira-yunusabad-11-zhk-comfort-house-91151,77.63,5,10,1,2026-08-21T23:55:40+00:00
91152,2026-08-05,Yunusobod,5,1200,https://hata.uz/en/listings/object/prodaetsya-5-komnatnaya-kvartira-yunusabadskiy-rayon-11zhk-comfort-house-91152,107.0,2,10,1,2026-08-21T23:55:40+00:00
91153,2026-08-05,Yunusobod,3,1200,https://hata.uz/en/listings/object/prodaetsya-3-komnatnaya-kvartira-yunusabadskiy-rayon-zhk-comfort-house-91153,64.5,2,10,1,2026-08-21T23:55:40+00:00
91174,2026-08-05,Yunusobod,4,1700,https://hata.uz/en/listings/object/prodaetsya-tselyy-etazh-3-kvartiry-67kv-118kv-120kv-ts-5-korobka-91174,304.0,6,6,1,2026-08-21T23:55:40+00:00
91392,2026-08-05,Yunusobod,3,3633,https://hata.uz/en/listings/object/eng-arzon-narhda-3-honali-honadon-super-lokatsiya-707-91392,63.9,9,9,1,2026-08-21T23:55:40+00:00
91453,2026-08-05,Yunusobod,1,5000,https://hata.uz/en/listings/object/yangi-uylar-atigi-5000-boshlangich-tulov-kulay-rassrochka-ma-91453,30.0,14,2,1,2026-08-21T23:55:40+00:00
91454,2026-08-05,Yunusobod,1,5000,https://hata.uz/en/listings/object/novostroyka-vsego-5000-pervyy-vznos-udobnaya-rassrochka-ma-91454,30.0,14,2,1,2026-08-21T23:55:40+00:00
